Epoch 1 : Train Loss 1.677806e-01 , Train acc 0.783000,  Valid acc 0.700000 
Epoch 2 : Train Loss 9.156736e-02 , Train acc 0.846000,  Valid acc 0.770000 
Epoch 3 : Train Loss 6.885812e-02 , Train acc 0.868000,  Valid acc 0.790000 
Epoch 4 : Train Loss 5.768379e-02 , Train acc 0.883000,  Valid acc 0.808000 
Epoch 5 : Train Loss 5.071337e-02 , Train acc 0.896000,  Valid acc 0.818000 
Epoch 6 : Train Loss 4.579924e-02 , Train acc 0.904000,  Valid acc 0.826000 
Epoch 7 : Train Loss 4.206877e-02 , Train acc 0.910000,  Valid acc 0.828000 
Epoch 8 : Train Loss 3.909162e-02 , Train acc 0.914000,  Valid acc 0.826000 
Epoch 9 : Train Loss 3.662789e-02 , Train acc 0.923000,  Valid acc 0.828000 
Epoch 10 : Train Loss 3.453230e-02 , Train acc 0.925000,  Valid acc 0.834000 
Epoch 11 : Train Loss 3.271132e-02 , Train acc 0.929000,  Valid acc 0.836000 
Epoch 12 : Train Loss 3.110186e-02 , Train acc 0.931000,  Valid acc 0.836000 
Epoch 13 : Train Loss 2.965979e-02 , Train acc 0.933000,  Valid acc 0.836000 
Epoch 14 : Train Loss 2.835321e-02 , Train acc 0.937000,  Valid acc 0.834000 
Epoch 15 : Train Loss 2.715852e-02 , Train acc 0.940000,  Valid acc 0.834000 
Epoch 16 : Train Loss 2.605778e-02 , Train acc 0.945000,  Valid acc 0.830000 
Epoch 17 : Train Loss 2.503715e-02 , Train acc 0.947000,  Valid acc 0.832000 
Epoch 18 : Train Loss 2.408571e-02 , Train acc 0.948000,  Valid acc 0.834000 
Epoch 19 : Train Loss 2.319476e-02 , Train acc 0.953000,  Valid acc 0.836000 
Epoch 20 : Train Loss 2.235722e-02 , Train acc 0.954000,  Valid acc 0.836000 
Epoch 21 : Train Loss 2.156728e-02 , Train acc 0.958000,  Valid acc 0.838000 
Epoch 22 : Train Loss 2.082013e-02 , Train acc 0.961000,  Valid acc 0.838000 
Epoch 23 : Train Loss 2.011169e-02 , Train acc 0.962000,  Valid acc 0.836000 
Epoch 24 : Train Loss 1.943851e-02 , Train acc 0.963000,  Valid acc 0.834000 
Epoch 25 : Train Loss 1.879763e-02 , Train acc 0.968000,  Valid acc 0.834000 
Epoch 26 : Train Loss 1.818650e-02 , Train acc 0.968000,  Valid acc 0.836000 
Epoch 27 : Train Loss 1.760291e-02 , Train acc 0.970000,  Valid acc 0.838000 
Epoch 28 : Train Loss 1.704491e-02 , Train acc 0.970000,  Valid acc 0.838000 
Epoch 29 : Train Loss 1.651078e-02 , Train acc 0.971000,  Valid acc 0.836000 
Epoch 30 : Train Loss 1.599896e-02 , Train acc 0.971000,  Valid acc 0.836000 
Epoch 31 : Train Loss 1.550804e-02 , Train acc 0.974000,  Valid acc 0.834000 
Epoch 32 : Train Loss 1.503678e-02 , Train acc 0.976000,  Valid acc 0.836000 
Epoch 33 : Train Loss 1.458402e-02 , Train acc 0.977000,  Valid acc 0.836000 
Epoch 34 : Train Loss 1.414873e-02 , Train acc 0.980000,  Valid acc 0.834000 
Epoch 35 : Train Loss 1.372998e-02 , Train acc 0.982000,  Valid acc 0.834000 
Epoch 36 : Train Loss 1.332692e-02 , Train acc 0.982000,  Valid acc 0.834000 
Epoch 37 : Train Loss 1.293876e-02 , Train acc 0.984000,  Valid acc 0.834000 
Epoch 38 : Train Loss 1.256480e-02 , Train acc 0.984000,  Valid acc 0.832000 
Epoch 39 : Train Loss 1.220441e-02 , Train acc 0.984000,  Valid acc 0.832000 
Epoch 40 : Train Loss 1.185697e-02 , Train acc 0.985000,  Valid acc 0.830000 
Epoch 41 : Train Loss 1.152194e-02 , Train acc 0.985000,  Valid acc 0.830000 
Epoch 42 : Train Loss 1.119883e-02 , Train acc 0.986000,  Valid acc 0.830000 
Epoch 43 : Train Loss 1.088715e-02 , Train acc 0.986000,  Valid acc 0.832000 
Epoch 44 : Train Loss 1.058647e-02 , Train acc 0.988000,  Valid acc 0.832000 
Epoch 45 : Train Loss 1.029638e-02 , Train acc 0.988000,  Valid acc 0.832000 
Epoch 46 : Train Loss 1.001646e-02 , Train acc 0.990000,  Valid acc 0.832000 
Epoch 47 : Train Loss 9.746347e-03 , Train acc 0.990000,  Valid acc 0.832000 
Epoch 48 : Train Loss 9.485678e-03 , Train acc 0.991000,  Valid acc 0.832000 
Epoch 49 : Train Loss 9.234107e-03 , Train acc 0.992000,  Valid acc 0.832000 
Epoch 50 : Train Loss 8.991300e-03 , Train acc 0.996000,  Valid acc 0.828000 
Epoch 51 : Train Loss 8.756939e-03 , Train acc 0.996000,  Valid acc 0.828000 
Epoch 52 : Train Loss 8.530717e-03 , Train acc 0.997000,  Valid acc 0.830000 
Epoch 53 : Train Loss 8.312342e-03 , Train acc 0.997000,  Valid acc 0.826000 
Epoch 54 : Train Loss 8.101543e-03 , Train acc 0.997000,  Valid acc 0.826000 
Epoch 55 : Train Loss 7.898048e-03 , Train acc 0.997000,  Valid acc 0.824000 
Epoch 56 : Train Loss 7.701605e-03 , Train acc 0.997000,  Valid acc 0.824000 
Epoch 57 : Train Loss 7.511969e-03 , Train acc 0.997000,  Valid acc 0.824000 
Epoch 58 : Train Loss 7.328904e-03 , Train acc 0.997000,  Valid acc 0.824000 
Epoch 59 : Train Loss 7.152182e-03 , Train acc 0.997000,  Valid acc 0.826000 
Epoch 60 : Train Loss 6.981577e-03 , Train acc 0.997000,  Valid acc 0.826000 
